epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
41,1352.74,1.30126,1.05322,1.10252,1.15402,0,0.65373,0.45923,0.49384,0.28743,0.68108,0.45946,0.51443,0.33868,1.37147,0.63719,1.35132,1.17549,0,0.001208,0.001208,0.001208
42,1384.77,1.26522,0.96193,1.11692,1.14637,0,0.56703,0.52703,0.51326,0.31062,0.55557,0.5,0.48315,0.27386,1.14918,0.66562,1.28667,1.19522,0,0.0011882,0.0011882,0.0011882
43,1417,1.23584,0.9067,1.05767,1.16331,0,0.78529,0.49433,0.55089,0.33165,0.80676,0.50784,0.57868,0.33708,1.16112,0.7065,1.27112,1.1601,0,0.0011684,0.0011684,0.0011684
44,1450.61,1.2405,0.96782,1.0319,1.12206,0,0.70149,0.53988,0.55319,0.31006,0.71905,0.55339,0.59008,0.35327,1.32363,0.65809,1.38521,1.15062,0,0.0011486,0.0011486,0.0011486
45,1483.7,1.27028,1.00571,1.05876,1.11772,0,0.66767,0.57018,0.56416,0.33322,0.7051,0.56757,0.59091,0.36281,1.26526,0.64456,1.37366,1.15071,0,0.0011288,0.0011288,0.0011288
46,1516.97,1.17922,0.96831,0.99383,1.08024,0,0.87448,0.44595,0.53688,0.32223,0.87448,0.44595,0.54153,0.31152,1.17767,0.68893,1.29674,1.15261,0,0.001109,0.001109,0.001109
47,1548.98,1.22793,0.90494,0.99142,1.10979,0,0.74641,0.47737,0.53095,0.3268,0.74641,0.47737,0.52936,0.31004,1.1484,0.70204,1.3197,1.15982,0,0.0010892,0.0010892,0.0010892
48,1581.07,1.16312,0.94448,1.0036,1.10762,0,0.75512,0.47297,0.52852,0.33129,0.76669,0.48852,0.53483,0.31424,1.18913,0.65883,1.34669,1.14044,0,0.0010694,0.0010694,0.0010694
49,1615.51,1.1964,0.97688,0.98435,1.10755,0,0.73972,0.5,0.53095,0.34614,0.73972,0.5,0.54486,0.31274,1.15166,0.65745,1.26928,1.12882,0,0.0010496,0.0010496,0.0010496
50,1647.97,1.17737,0.94086,1.03089,1.121,0,0.76061,0.43243,0.53605,0.33845,0.73588,0.41892,0.5187,0.2646,1.20567,0.72335,1.30089,1.11243,0,0.0010298,0.0010298,0.0010298
51,1681.51,1.1267,0.87907,0.95245,1.06208,0,0.78873,0.43243,0.55311,0.36368,0.74652,0.47765,0.57564,0.30286,1.23348,0.69708,1.23384,1.10592,0,0.00101,0.00101,0.00101
52,1714.4,1.1468,0.94793,0.96611,1.08875,0,0.7326,0.48137,0.53965,0.33451,0.7449,0.51351,0.54367,0.31867,1.22618,0.66403,1.20114,1.13839,0,0.0009902,0.0009902,0.0009902
53,1748,1.12483,0.86541,0.97342,1.09204,0,0.74436,0.48649,0.55511,0.35043,0.85359,0.47271,0.56511,0.34486,1.1586,0.65216,1.1397,1.09647,0,0.0009704,0.0009704,0.0009704
54,1780.03,1.1482,0.82856,1.00067,1.06867,0,0.57663,0.62162,0.57658,0.38244,0.62251,0.56757,0.5999,0.33068,1.14619,0.65665,1.1818,1.09547,0,0.0009506,0.0009506,0.0009506
55,1812.83,1.13846,0.91389,0.93242,1.08987,0,0.76259,0.52703,0.59911,0.38809,0.74032,0.51351,0.58896,0.34046,1.09023,0.67234,1.08585,1.10499,0,0.0009308,0.0009308,0.0009308
56,1844.42,1.09311,0.97377,0.91986,1.04319,0,0.82076,0.5,0.57386,0.36654,0.81833,0.47297,0.56516,0.33894,1.10074,0.64924,1.10868,1.11091,0,0.000911,0.000911,0.000911
57,1877.84,1.0802,0.8002,0.89632,1.01915,0,0.79988,0.5,0.55268,0.35295,0.82149,0.51351,0.58759,0.33985,1.13508,0.63173,1.16127,1.11235,0,0.0008912,0.0008912,0.0008912
58,1911.03,1.11835,0.98728,0.96315,1.06534,0,0.83781,0.48867,0.57912,0.36553,0.78069,0.52703,0.59521,0.34417,1.06081,0.65038,1.06763,1.09793,0,0.0008714,0.0008714,0.0008714
59,1943.15,1.07447,0.82857,0.91408,1.052,0,0.83132,0.48649,0.57679,0.37822,0.79142,0.51351,0.58283,0.33268,1.05022,0.67304,1.07175,1.09157,0,0.0008516,0.0008516,0.0008516
60,1976.24,1.05809,0.78988,0.87983,1.05876,0,0.78709,0.52703,0.57683,0.3822,0.81034,0.54054,0.58782,0.32943,1.03595,0.67177,1.10911,1.08364,0,0.0008318,0.0008318,0.0008318
61,2009.63,1.05831,0.94618,0.89029,1.05434,0,0.81708,0.51351,0.58405,0.38709,0.8139,0.53196,0.59539,0.34913,1.08879,0.6563,1.08555,1.09246,0,0.000812,0.000812,0.000812
62,2041.8,1.09734,0.94607,0.91801,1.0533,0,0.72662,0.5388,0.5637,0.38285,0.85579,0.48123,0.56061,0.33983,1.01699,0.71144,1.07292,1.09802,0,0.0007922,0.0007922,0.0007922
63,2073.22,1.02941,0.79635,0.84523,1.03718,0,0.73278,0.51351,0.55934,0.37093,0.75159,0.51351,0.56308,0.34888,1.12088,0.70672,1.08735,1.08618,0,0.0007724,0.0007724,0.0007724
64,2105.31,1.10506,0.87661,0.90185,1.03893,0,0.68286,0.54054,0.55484,0.35296,0.69095,0.52703,0.56251,0.3615,1.17688,0.71349,1.12545,1.07852,0,0.0007526,0.0007526,0.0007526
65,2136.32,1.06581,0.90056,0.89609,1.04215,0,0.69745,0.56757,0.56679,0.3861,0.70619,0.55219,0.57092,0.3537,1.02991,0.69823,1.07544,1.05508,0,0.0007328,0.0007328,0.0007328
66,2168.27,1.05142,0.85577,0.86056,1.03993,0,0.85678,0.48649,0.58706,0.38774,0.88047,0.49774,0.59561,0.35915,1.03599,0.69175,1.09663,1.06699,0,0.000713,0.000713,0.000713
